,CountyA,StateB,CountyB,BtoA,BtoA_ME AtoB,AtoB_ME,Net,Net_ME,Total,Total_ME,BtoA_ME,AtoB
366079,Missoul,Alabama,Autauga,27.0,32        0,27,27.0,32.0,27.0,32.0,32,0
366457,Park Co,Alabama,Autauga,3.0,6        0,27,3.0,6.0,3.0,6.0,6,0
422327,Curry C,Alabama,Autauga,0.0,28      321,427,-321.0,427.0,321.0,427.0,28,321
467372,Steuben,Alabama,Autauga,12.0,18        0,27,12.0,18.0,12.0,18.0,18,0
467400,Steuben,Alabama,Autauga,10.0,15        0,27,10.0,15.0,10.0,15.0,15,0
481821,Cumberl,Alabama,Autauga,60.0,91        0,27,60.0,91.0,60.0,91.0,91,0
483922,Forsyth,Alabama,Autauga,0.0,28        5,9,-5.0,9.0,5.0,9.0,28,5
495230,Wake Co,Alabama,Autauga,17.0,28        0,27,17.0,28.0,17.0,28.0,28,0
496573,Wayne C,Alabama,Autauga,45.0,71        0,27,45.0,71.0,45.0,71.0,71,0
498809,Grand F,Alabama,Autauga,7.0,10        0,27,7.0,10.0,7.0,10.0,10,0
503483,Clark C,Alabama,Autauga,17.0,26        0,27,17.0,26.0,17.0,26.0,26,0
515602,Stark C,Alabama,Autauga,13.0,19        0,27,13.0,19.0,13.0,19.0,19,0
533010,Umatill,Alabama,Autauga,0.0,28       12,22,-12.0,22.0,12.0,22.0,28,12
589014,McKean,Alabama,Autauga,0.0,10        7,12,-7.0,12.0,7.0,12.0,10,7
627030,Sumter,Alabama,Autauga,0.0,29      155,175,-155.0,175.0,155.0,175.0,29,155
631120,Penning,Alabama,Autauga,0.0,22       38,71,-38.0,71.0,38.0,71.0,22,38
636189,Hamilto,Alabama,Autauga,0.0,29       12,20,-12.0,20.0,12.0,20.0,29,12
637637,Knox Co,Alabama,Autauga,0.0,29        8,14,-8.0,14.0,8.0,14.0,29,8
639641,Montgom,Alabama,Autauga,14.0,22        0,27,14.0,22.0,14.0,22.0,22,0
641091,Rutherf,Alabama,Autauga,5.0,8        0,27,5.0,8.0,5.0,8.0,8,0
644181,William,Alabama,Autauga,0.0,29        8,16,-8.0,16.0,8.0,16.0,29,8
648432,Brazos,Alabama,Autauga,31.0,52        0,27,31.0,52.0,31.0,52.0,52,0
653599,Denton,Alabama,Autauga,0.0,31       21,43,-21.0,43.0,21.0,43.0,31,21
654958,Ellis C,Alabama,Autauga,82.0,132        0,27,82.0,132.0,82.0,132.0,132,0
659079,Harris,Alabama,Autauga,0.0,31        1,5,-1.0,5.0,1.0,5.0,31,1
667076,Midland,Alabama,Autauga,0.0,31       81,94,-81.0,94.0,81.0,94.0,31,81
677129,Wichita,Alabama,Autauga,41.0,46        0,27,41.0,46.0,41.0,46.0,46,0
677715,William,Alabama,Autauga,17.0,29        0,27,17.0,29.0,17.0,29.0,29,0
679360,Davis C,Alabama,Autauga,26.0,36        0,27,26.0,36.0,26.0,36.0,36,0
681163,Sanpete,Alabama,Autauga,1.0,4        0,27,1.0,4.0,1.0,4.0,4,0
681680,Utah Co,Alabama,Autauga,143.0,223        0,27,143.0,223.0,143.0,223.0,223,0
692514,Fairfax,Alabama,Autauga,39.0,61        0,27,39.0,61.0,39.0,61.0,61,0
696084,Loudoun,Alabama,Autauga,0.0,28       15,24,-15.0,24.0,15.0,24.0,28,15
698379,Prince,Alabama,Autauga,64.0,99        0,27,64.0,99.0,64.0,99.0,99,0
701383,York Co,Alabama,Autauga,0.0,28      142,225,-142.0,225.0,142.0,225.0,28,142
704399,Lynchbu,Alabama,Autauga,0.0,28      100,161,-100.0,161.0,100.0,161.0,28,100
715496,Spokane,Alabama,Autauga,20.0,20        0,27,20.0,20.0,20.0,20.0,20,0
722337,Wood Co,Alabama,Autauga,0.0,27       37,58,-37.0,58.0,37.0,58.0,27,37
768215,Laramie,Alabama,Autauga,0.0,28        5,8,-5.0,8.0,5.0,8.0,28,5
